"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
9.957208327E-3,2.245933533E0,-2.554068375E1,-4.834379196E1,5.472196054E1
2.000520834E-2,2.174110413E0,-2.561682510E1,-4.829323196E1,5.471000583E1
3.005220833E-2,2.044830322E0,-2.554527664E1,-4.832051849E1,5.469565794E1
4.009920833E-2,1.676181793E0,-2.533920288E1,-4.840959549E1,5.466601982E1
5.014720833E-2,1.562801361E0,-2.521588898E1,-4.860854340E1,5.478205816E1
6.019420833E-2,1.666172028E0,-2.526339340E1,-4.867707825E1,5.486777854E1
7.024120833E-2,1.415290833E0,-2.540373611E1,-4.841143417E1,5.469021682E1
8.028920833E-2,1.175457001E0,-2.532123184E1,-4.843155289E1,5.466408141E1
9.033620833E-2,8.734397888E-1,-2.512279129E1,-4.855262756E1,5.467426435E1
1.003832083E-1,5.208396912E-1,-2.488127518E1,-4.867908478E1,5.467176989E1
1.104312083E-1,2.814064026E-1,-2.485112381E1,-4.883262253E1,5.479308868E1
1.204782083E-1,-7.929992676E-2,-2.462016296E1,-4.879126358E1,5.465113095E1
1.305252083E-1,-3.109550476E-1,-2.457034683E1,-4.878646469E1,5.462524850E1
1.405732083E-1,-5.253868103E-1,-2.466470337E1,-4.882479095E1,5.470359984E1
1.506202083E-1,-7.888870239E-1,-2.459994125E1,-4.876123047E1,5.462084812E1
1.606672083E-1,-9.323005676E-1,-2.450708389E1,-4.882935333E1,5.464221895E1
1.707152083E-1,-1.239707947E0,-2.431137085E1,-4.893108368E1,5.465190370E1
1.807622083E-1,-1.652595520E0,-2.399162292E1,-4.918283081E1,5.474741902E1
1.908092083E-1,-1.851932526E0,-2.414832306E1,-4.935130692E1,5.497383609E1
2.008572083E-1,-1.913425446E0,-2.419725800E1,-4.939706039E1,5.503851440E1
2.109042083E-1,-2.162193298E0,-2.398577118E1,-4.922611618E1,5.480148550E1
2.209512083E-1,-2.207580566E0,-2.385627365E1,-4.940465927E1,5.490733614E1
2.309982083E-1,-2.437892914E0,-2.339413071E1,-4.968207932E1,5.496851534E1
2.410462083E-1,-2.834598541E0,-2.305293655E1,-4.994143295E1,5.507830388E1
2.510932083E-1,-3.040496826E0,-2.273075104E1,-4.989302063E1,5.491124813E1
2.611402083E-1,-3.441207886E0,-2.233856964E1,-5.003561401E1,5.490370001E1
2.711882083E-1,-4.028308868E0,-2.169302750E1,-5.037715149E1,5.499701907E1
2.812352083E-1,-4.370452881E0,-2.134461212E1,-5.035447693E1,5.486589717E1
2.912822083E-1,-4.887439728E0,-2.098799515E1,-5.060608673E1,5.500326374E1
3.013302083E-1,-5.492252350E0,-2.063014984E1,-5.079003525E1,5.509442439E1
3.113772083E-1,-6.122150421E0,-2.012735748E1,-5.088103104E1,5.505879189E1
3.214242083E-1,-6.240482330E0,-2.008373642E1,-5.095866013E1,5.512789793E1
3.314722083E-1,-6.398189545E0,-1.990039825E1,-5.105041885E1,5.516437206E1
3.415192083E-1,-6.354358673E0,-1.984704971E1,-5.099699020E1,5.509061868E1
3.515662083E-1,-6.528678894E0,-1.948329544E1,-5.097664261E1,5.496217373E1
3.616142083E-1,-6.515010834E0,-1.931324768E1,-5.099898148E1,5.492124374E1
3.716612083E-1,-6.569774628E0,-1.932033539E1,-5.109490585E1,5.501933026E1
3.817082083E-1,-6.664196014E0,-1.924209976E1,-5.115474701E1,5.505885990E1
3.917562083E-1,-6.643016815E0,-1.931830597E1,-5.114838409E1,5.507707158E1
4.018032083E-1,-6.645011902E0,-1.920023727E1,-5.110364151E1,5.499443126E1
4.118502083E-1,-6.582355499E0,-1.923574066E1,-5.121101761E1,5.509908754E1
4.218982083E-1,-6.569335938E0,-1.911965942E1,-5.103922653E1,5.489736056E1
4.319452083E-1,-6.562496185E0,-1.911050415E1,-5.122146988E1,5.506284320E1
4.419922083E-1,-6.624462128E0,-1.899656677E1,-5.121755600E1,5.502718501E1
4.520402083E-1,-6.808425903E0,-1.873165131E1,-5.115749741E1,5.490281381E1
4.620872083E-1,-7.137023926E0,-1.847068024E1,-5.121713257E1,5.491172741E1
4.721342083E-1,-7.603511810E0,-1.815186691E1,-5.112793350E1,5.478475380E1
4.821812083E-1,-8.328735352E0,-1.773403168E1,-5.110118484E1,5.472837294E1
4.922292083E-1,-9.056377411E0,-1.703890991E1,-5.112666702E1,5.464685264E1
5.022762083E-1,-9.567317963E0,-1.649549484E1,-5.102348328E1,5.447045776E1
5.123232083E-1,-1.020603180E1,-1.594935131E1,-5.110922623E1,5.450410900E1
5.223712083E-1,-1.085057831E1,-1.514765453E1,-5.148435974E1,5.475240438E1
5.324182083E-1,-1.133767319E1,-1.457457256E1,-5.172646332E1,5.492347409E1
5.424652083E-1,-1.175932312E1,-1.414157009E1,-5.158864212E1,5.476909421E1
5.525132083E-1,-1.222678375E1,-1.369404125E1,-5.186050034E1,5.501393007E1
5.625602083E-1,-1.231427383E1,-1.331773090E1,-5.177329254E1,5.485870138E1
5.726072083E-1,-1.256806183E1,-1.309881687E1,-5.184363937E1,5.492993833E1
5.826552083E-1,-1.276996231E1,-1.277513790E1,-5.202954865E1,5.507585694E1
5.927022083E-1,-1.269818115E1,-1.238807774E1,-5.200503540E1,5.494753845E1
6.027492083E-1,-1.280354691E1,-1.225544071E1,-5.210108185E1,5.503316609E1
6.127972083E-1,-1.273593521E1,-1.219656849E1,-5.205051041E1,5.495649154E1
6.228442083E-1,-1.270495987E1,-1.213707638E1,-5.203238297E1,5.491897218E1
6.328912083E-1,-1.258347702E1,-1.221952343E1,-5.205514908E1,5.493085829E1
6.429382083E-1,-1.251551056E1,-1.252896595E1,-5.207238007E1,5.500132506E1
6.529856250E-1,-1.217820740E1,-1.272637081E1,-5.206996918E1,5.496863596E1
6.630326250E-1,-1.181798553E1,-1.296782017E1,-5.232850647E1,5.519150054E1
6.730796250E-1,-1.139764404E1,-1.320593357E1,-5.226928329E1,5.510336603E1
6.831276250E-1,-1.097921753E1,-1.343480015E1,-5.232522964E1,5.512682405E1
6.931746250E-1,-1.050746536E1,-1.370513821E1,-5.243849945E1,5.520900168E1
7.032216250E-1,-1.014847565E1,-1.383505344E1,-5.237688065E1,5.511567733E1
7.132696250E-1,-9.642040253E0,-1.423317242E1,-5.255356216E1,5.529402349E1
7.233166250E-1,-9.369312286E0,-1.423053265E1,-5.243944168E1,5.513789183E1
7.333636250E-1,-9.299037933E0,-1.432779598E1,-5.242996216E1,5.514216877E1
7.434116250E-1,-9.397617340E0,-1.409902859E1,-5.252324677E1,5.518866976E1
7.534586250E-1,-9.505470276E0,-1.390837383E1,-5.254748154E1,5.518183255E1
7.635056250E-1,-9.584522247E0,-1.364358616E1,-5.258557892E1,5.516569242E1
7.735536250E-1,-9.623657227E0,-1.405671597E1,-5.247232819E1,5.516839011E1
7.836006250E-1,-9.551410675E0,-1.399778461E1,-5.262228394E1,5.528356163E1
7.936476250E-1,-9.615554810E0,-1.365657711E1,-5.260468292E1,5.519251451E1
8.036956250E-1,-9.604721069E0,-1.352975368E1,-5.277009583E1,5.531715751E1
8.137426250E-1,-9.448616028E0,-1.330183125E1,-5.277651215E1,5.524106528E1
8.237896250E-1,-9.347797394E0,-1.326220036E1,-5.277148438E1,5.520957197E1
8.338366250E-1,-9.471694946E0,-1.316459751E1,-5.290132904E1,5.533145802E1
8.438846250E-1,-9.485214233E0,-1.308781719E1,-5.283266830E1,5.524989672E1
8.539316250E-1,-9.789424896E0,-1.309171581E1,-5.273945618E1,5.521481776E1
8.639786250E-1,-9.787425995E0,-1.315195751E1,-5.279654312E1,5.528329458E1
8.740266250E-1,-9.715652466E0,-1.315669155E1,-5.265906143E1,5.514044964E1
8.840736250E-1,-9.550521851E0,-1.336554050E1,-5.267098618E1,5.517320840E1
8.941206250E-1,-9.246059418E0,-1.345694256E1,-5.280403137E1,5.527064905E1
9.041686250E-1,-9.184818268E0,-1.362439442E1,-5.279251099E1,5.529045330E1
